experiment,horizon,comparison_role,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,n_cells,status
e3_exact_online,20,secondary_baseline,counts_direct,bayes_ucb,reward,-0.105,-0.34,0.115,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_direct,bayes_ucb,exact_loss,0.12713681122695367,0.08495454081278761,0.17255730670990083,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,counts_direct,exact,pseudo_regret,0.11542277348683044,-0.0595617744793486,0.31531157728755665,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,counts_direct,exact,reward,-0.18,-0.42,0.035,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,counts_direct,exact,exact_loss,0.18517007049668943,0.14103583096364636,0.23199497254158202,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_direct,finite_ap_index,pseudo_regret,0.12344315746839701,-0.055164269050720194,0.3260106032208722,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_direct,finite_ap_index,reward,-0.16,-0.405,0.06,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_direct,finite_ap_index,exact_loss,0.18352676816292038,0.13993733038029313,0.23096996143058243,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_direct,greedy,pseudo_regret,0.2167291133335431,0.032406480370175475,0.4199529485628829,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_direct,greedy,reward,-0.235,-0.46,-0.02,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_direct,greedy,exact_loss,0.12282087652103303,0.0798704711402687,0.1696905789943042,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_direct,ids,pseudo_regret,0.09185962312840051,-0.07002712071323805,0.2711773150251357,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_direct,ids,reward,-0.145,-0.37,0.06,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_direct,ids,exact_loss,0.149019365081121,0.10816328204523665,0.192437755263339,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_direct,knowledge_gradient,pseudo_regret,0.049251837366047484,-0.12849462688326543,0.24285984701180457,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_direct,knowledge_gradient,reward,-0.08,-0.325,0.155,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_direct,knowledge_gradient,exact_loss,0.1535714795975671,0.10679822335241293,0.20415586879747857,200,200,200,episode,1,ok
e3_exact_online,20,primary_vs_ts,counts_direct,ts,pseudo_regret,-0.46113658252612816,-0.6446253534251382,-0.26701651397508547,200,200,200,episode,1,ok
e3_exact_online,20,primary_vs_ts,counts_direct,ts,reward,0.515,0.235,0.78,200,200,200,episode,1,ok
e3_exact_online,20,primary_vs_ts,counts_direct,ts,exact_loss,-0.3173446882520993,-0.3789248372402454,-0.25545850920006474,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_direct,ucb1,pseudo_regret,-0.8486040775670043,-1.0612225486100908,-0.6198703128162224,200,200,200,episode,1,ok
