experiment,policy,stratum,low_horizon,high_horizon,metric,low_mean,high_mean,mean_difference,ci_low,ci_high,n_fixtures,analysis_role
e2_assistance,counts_explore,high_horizon_requires_exploration,1,10,optimal_agreement,0.9583333333333334,0.16666666666666666,-0.7916666666666666,-0.9583333333333334,-0.625,6,post_hoc_secondary
e2_assistance,counts_explore,high_horizon_greedy_can_be_optimal,1,10,optimal_agreement,0.9122340425531915,0.9228723404255319,0.010638297872340425,-0.0398936170212766,0.06382978723404255,94,post_hoc_secondary
e2_assistance,counts_explore,all_matched,1,10,exact_loss,0.0070806277056277055,0.007782726046087997,0.0007020983404602923,-0.005246177480792618,0.00608197919898049,100,post_hoc_secondary
e2_assistance,counts_explore,high_horizon_requires_exploration,1,10,exact_loss,0.0004960317460317489,0.0324558330164361,0.031959801270404355,0.01170820072820851,0.05416176696264899,6,post_hoc_secondary
e2_assistance,counts_explore,high_horizon_greedy_can_be_optimal,1,10,exact_loss,0.007500921064750851,0.006207846877767906,-0.0012930741869829456,-0.00725202964061107,0.0038534684556259077,94,post_hoc_secondary
e2_assistance,counts_explore,all_matched,1,10,exploration_required,0.0,0.06,0.06,0.02,0.11,100,post_hoc_secondary
e2_assistance,counts_explore,high_horizon_requires_exploration,1,10,exploration_required,0.0,1.0,1.0,1.0,1.0,6,post_hoc_secondary
e2_assistance,counts_explore,high_horizon_greedy_can_be_optimal,1,10,exploration_required,0.0,0.0,0.0,0.0,0.0,94,post_hoc_secondary
e2_assistance,dp_values_explore,all_matched,1,10,non_greedy_choice,0.0,0.06,0.06,0.02,0.11,100,post_hoc_secondary
e2_assistance,dp_values_explore,high_horizon_requires_exploration,1,10,non_greedy_choice,0.0,1.0,1.0,1.0,1.0,6,post_hoc_secondary
e2_assistance,dp_values_explore,high_horizon_greedy_can_be_optimal,1,10,non_greedy_choice,0.0,0.0,0.0,0.0,0.0,94,post_hoc_secondary
e2_assistance,dp_values_explore,all_matched,1,10,non_greedy_probability,0.00037500000000000006,0.07254999999999999,0.07217499999999999,0.03395000000000001,0.118825,100,post_hoc_secondary
e2_assistance,dp_values_explore,high_horizon_requires_exploration,1,10,non_greedy_probability,0.0,0.9516666666666667,0.9516666666666667,0.9429166666666666,0.9595833333333333,6,post_hoc_secondary
e2_assistance,dp_values_explore,high_horizon_greedy_can_be_optimal,1,10,non_greedy_probability,0.00039893617021276594,0.016436170212765954,0.01603723404255319,0.013617021276595745,0.018590425531914895,94,post_hoc_secondary
e2_assistance,dp_values_explore,all_matched,1,10,optimal_agreement,1.0,1.0,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,dp_values_explore,high_horizon_requires_exploration,1,10,optimal_agreement,1.0,1.0,0.0,0.0,0.0,6,post_hoc_secondary
e2_assistance,dp_values_explore,high_horizon_greedy_can_be_optimal,1,10,optimal_agreement,1.0,1.0,0.0,0.0,0.0,94,post_hoc_secondary
e2_assistance,dp_values_explore,all_matched,1,10,exact_loss,0.0,0.0,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,dp_values_explore,high_horizon_requires_exploration,1,10,exact_loss,0.0,0.0,0.0,0.0,0.0,6,post_hoc_secondary
e2_assistance,dp_values_explore,high_horizon_greedy_can_be_optimal,1,10,exact_loss,0.0,0.0,0.0,0.0,0.0,94,post_hoc_secondary
e2_assistance,dp_values_explore,all_matched,1,10,exploration_required,0.0,0.06,0.06,0.02,0.11,100,post_hoc_secondary
e2_assistance,dp_values_explore,high_horizon_requires_exploration,1,10,exploration_required,0.0,1.0,1.0,1.0,1.0,6,post_hoc_secondary
e2_assistance,dp_values_explore,high_horizon_greedy_can_be_optimal,1,10,exploration_required,0.0,0.0,0.0,0.0,0.0,94,post_hoc_secondary
e2_assistance,means_explore,all_matched,1,10,non_greedy_choice,0.0,0.005,0.005,0.0,0.015,100,post_hoc_secondary
e2_assistance,means_explore,high_horizon_requires_exploration,1,10,non_greedy_choice,0.0,0.0,0.0,0.0,0.0,6,post_hoc_secondary
e2_assistance,means_explore,high_horizon_greedy_can_be_optimal,1,10,non_greedy_choice,0.0,0.005319148936170213,0.005319148936170213,0.0,0.015957446808510637,94,post_hoc_secondary
e2_assistance,means_explore,all_matched,1,10,non_greedy_probability,0.0017499999999999998,0.07784999999999999,0.0761,0.063325,0.08992499999999999,100,post_hoc_secondary
e2_assistance,means_explore,high_horizon_requires_exploration,1,10,non_greedy_probability,0.0,0.18458333333333332,0.18458333333333332,0.1395833333333333,0.23916666666666664,6,post_hoc_secondary
e2_assistance,means_explore,high_horizon_greedy_can_be_optimal,1,10,non_greedy_probability,0.001861702127659575,0.07103723404255319,0.06917553191489362,0.057446808510638304,0.08289893617021277,94,post_hoc_secondary
e2_assistance,means_explore,all_matched,1,10,optimal_agreement,1.0,0.935,-0.065,-0.115,-0.02,100,post_hoc_secondary
e2_assistance,means_explore,high_horizon_requires_exploration,1,10,optimal_agreement,1.0,0.0,-1.0,-1.0,-1.0,6,post_hoc_secondary
e2_assistance,means_explore,high_horizon_greedy_can_be_optimal,1,10,optimal_agreement,1.0,0.9946808510638298,-0.005319148936170213,-0.015957446808510637,0.0,94,post_hoc_secondary
e2_assistance,means_explore,all_matched,1,10,exact_loss,0.0,0.0025572384785228853,0.0025572384785228853,0.0006452807430129948,0.004998290124976677,100,post_hoc_secondary
e2_assistance,means_explore,high_horizon_requires_exploration,1,10,exact_loss,0.0,0.03674488004757803,0.03674488004757803,0.018637803020953154,0.057658887798874105,6,post_hoc_secondary
e2_assistance,means_explore,high_horizon_greedy_can_be_optimal,1,10,exact_loss,0.0,0.0003750485911363865,0.0003750485911363865,0.0,0.0011251457734091593,94,post_hoc_secondary
e2_assistance,means_explore,all_matched,1,10,exploration_required,0.0,0.06,0.06,0.02,0.11,100,post_hoc_secondary
e2_assistance,means_explore,high_horizon_requires_exploration,1,10,exploration_required,0.0,1.0,1.0,1.0,1.0,6,post_hoc_secondary
e2_assistance,means_explore,high_horizon_greedy_can_be_optimal,1,10,exploration_required,0.0,0.0,0.0,0.0,0.0,94,post_hoc_secondary
e2_assistance,recommendation_explore,all_matched,1,10,non_greedy_choice,0.0125,0.03,0.0175,0.0025,0.035,100,post_hoc_secondary
e2_assistance,recommendation_explore,high_horizon_requires_exploration,1,10,non_greedy_choice,0.0,0.0,0.0,0.0,0.0,6,post_hoc_secondary
e2_assistance,recommendation_explore,high_horizon_greedy_can_be_optimal,1,10,non_greedy_choice,0.013297872340425532,0.031914893617021274,0.018617021276595744,0.005252659574468146,0.03723404255319149,94,post_hoc_secondary
e2_assistance,recommendation_explore,all_matched,1,10,non_greedy_probability,0.019375000000000003,0.067625,0.048249999999999994,0.033649375,0.06515062499999999,100,post_hoc_secondary
e2_assistance,recommendation_explore,high_horizon_requires_exploration,1,10,non_greedy_probability,0.004166666666666667,0.14750000000000002,0.14333333333333334,0.11875000000000001,0.17041666666666666,6,post_hoc_secondary
e2_assistance,recommendation_explore,high_horizon_greedy_can_be_optimal,1,10,non_greedy_probability,0.020345744680851062,0.06252659574468085,0.04218085106382979,0.027260638297872345,0.05909574468085106,94,post_hoc_secondary
e2_assistance,recommendation_explore,all_matched,1,10,optimal_agreement,0.9875,0.8925,-0.095,-0.14756249999999993,-0.0475,100,post_hoc_secondary
e2_assistance,recommendation_explore,high_horizon_requires_exploration,1,10,optimal_agreement,1.0,0.0,-1.0,-1.0,-1.0,6,post_hoc_secondary
e2_assistance,recommendation_explore,high_horizon_greedy_can_be_optimal,1,10,optimal_agreement,0.9867021276595744,0.949468085106383,-0.03723404255319149,-0.06382978723404255,-0.015957446808510637,94,post_hoc_secondary
e2_assistance,recommendation_explore,all_matched,1,10,exact_loss,0.0005492424242424242,0.006735476509606495,0.0061862340853640705,0.0033635408012669308,0.009549241223652112,100,post_hoc_secondary
e2_assistance,recommendation_explore,high_horizon_requires_exploration,1,10,exact_loss,0.0,0.03674488004757803,0.03674488004757803,0.018637803020953154,0.057658887798874105,6,post_hoc_secondary
e2_assistance,recommendation_explore,high_horizon_greedy_can_be_optimal,1,10,exact_loss,0.0005843004513217279,0.004819982666757248,0.00423568221543552,0.0019051960411761385,0.006977483697728452,94,post_hoc_secondary
e2_assistance,recommendation_explore,all_matched,1,10,exploration_required,0.0,0.06,0.06,0.02,0.11,100,post_hoc_secondary
e2_assistance,recommendation_explore,high_horizon_requires_exploration,1,10,exploration_required,0.0,1.0,1.0,1.0,1.0,6,post_hoc_secondary
e2_assistance,recommendation_explore,high_horizon_greedy_can_be_optimal,1,10,exploration_required,0.0,0.0,0.0,0.0,0.0,94,post_hoc_secondary
