experiment,horizon,left,right,metric,mean_difference,ci_low,ci_high,n_fixtures,unit
e2_assistance,1,counts_explore,means_explore,optimal_agreement,-0.085,-0.135,-0.0425,100,underlying fixture
e2_assistance,1,counts_explore,means_explore,posterior_mean_greedy,-0.085,-0.135,-0.0425,100,underlying fixture
e2_assistance,1,counts_explore,means_explore,prediction_entropy,0.1479352358438829,0.11078333429752214,0.18664661671246252,100,underlying fixture
e2_assistance,1,counts_explore,recommendation_explore,exact_loss,0.006531385281385281,0.0024945887445887442,0.011650500541125538,100,underlying fixture
e2_assistance,1,counts_explore,recommendation_explore,distribution_exact_loss,0.00784745670995671,0.004961923701298699,0.011159108495671,100,underlying fixture
e2_assistance,1,counts_explore,recommendation_explore,optimal_agreement,-0.0725,-0.11506249999999994,-0.035,100,underlying fixture
e2_assistance,1,counts_explore,recommendation_explore,posterior_mean_greedy,-0.0725,-0.115,-0.035,100,underlying fixture
e2_assistance,1,counts_explore,recommendation_explore,prediction_entropy,0.09630102348960587,0.06329608119569295,0.12985353290632423,100,underlying fixture
e2_assistance,1,dp_values_explore,means_explore,exact_loss,0.0,0.0,0.0,100,underlying fixture
e2_assistance,1,dp_values_explore,means_explore,distribution_exact_loss,-0.00013993506493506557,-0.00023636769480519604,-5.827922077922042e-05,100,underlying fixture
e2_assistance,1,dp_values_explore,means_explore,optimal_agreement,0.0,0.0,0.0,100,underlying fixture
e2_assistance,1,dp_values_explore,means_explore,posterior_mean_greedy,0.0,0.0,0.0,100,underlying fixture
e2_assistance,1,dp_values_explore,means_explore,prediction_entropy,-0.00705765274869481,-0.011849378694491855,-0.002779937292021864,100,underlying fixture
e2_assistance,1,dp_values_explore,recommendation_explore,exact_loss,-0.0005492424242424242,-0.001287878787878788,0.0,100,underlying fixture
e2_assistance,1,dp_values_explore,recommendation_explore,distribution_exact_loss,-0.00157675865800866,-0.0025177786796536806,-0.0007624188311688338,100,underlying fixture
e2_assistance,1,dp_values_explore,recommendation_explore,optimal_agreement,0.0125,0.0,0.03,100,underlying fixture
e2_assistance,1,dp_values_explore,recommendation_explore,posterior_mean_greedy,0.0125,0.0,0.03,100,underlying fixture
e2_assistance,1,dp_values_explore,recommendation_explore,prediction_entropy,-0.058691865102971814,-0.080381252306287,-0.03844975174255815,100,underlying fixture
e2_assistance,1,means_explore,recommendation_explore,exact_loss,-0.0005492424242424242,-0.0012878787878787875,0.0,100,underlying fixture
e2_assistance,1,means_explore,recommendation_explore,distribution_exact_loss,-0.0014368235930735946,-0.0022924648268398276,-0.0006918438852813868,100,underlying fixture
e2_assistance,1,means_explore,recommendation_explore,optimal_agreement,0.0125,0.0,0.0275,100,underlying fixture
e2_assistance,1,means_explore,recommendation_explore,posterior_mean_greedy,0.0125,0.0,0.03,100,underlying fixture
e2_assistance,1,means_explore,recommendation_explore,prediction_entropy,-0.051634212354277,-0.07140928218976728,-0.03318700415623295,100,underlying fixture
e2_assistance,2,bayes_explore,counts_explore,exact_loss,-0.006730228105228104,-0.010943702131202129,-0.003048692973692972,100,underlying fixture
e2_assistance,2,bayes_explore,counts_explore,distribution_exact_loss,-0.004225695092950539,-0.006620407050150952,-0.0020140597932411888,100,underlying fixture
e2_assistance,2,bayes_explore,counts_explore,optimal_agreement,0.075,0.04,0.1150624999999991,100,underlying fixture
e2_assistance,2,bayes_explore,counts_explore,posterior_mean_greedy,0.0525,0.0225,0.0875,100,underlying fixture
e2_assistance,2,bayes_explore,counts_explore,prediction_entropy,-0.024737016590578143,-0.0421918729368464,-0.008584922698979444,100,underlying fixture
e2_assistance,2,bayes_explore,dp_values_explore,exact_loss,0.0031618797868797873,0.0010606060606060607,0.005694318181818183,100,underlying fixture
e2_assistance,2,bayes_explore,dp_values_explore,distribution_exact_loss,0.01477194095759312,0.01268879600471991,0.01698342134699538,100,underlying fixture
e2_assistance,2,bayes_explore,dp_values_explore,optimal_agreement,-0.045,-0.0825,-0.015,100,underlying fixture
e2_assistance,2,bayes_explore,dp_values_explore,posterior_mean_greedy,-0.0225,-0.0575,0.01,100,underlying fixture
e2_assistance,2,bayes_explore,dp_values_explore,prediction_entropy,0.21372860972680474,0.1866126927653314,0.24099120599487683,100,underlying fixture
e2_assistance,2,bayes_explore,means_explore,exact_loss,0.002874000999000999,0.0008179133366633388,0.005369861388611385,100,underlying fixture
e2_assistance,2,bayes_explore,means_explore,distribution_exact_loss,0.0035514147175288485,0.002313932779856021,0.004816750954208835,100,underlying fixture
e2_assistance,2,bayes_explore,means_explore,optimal_agreement,-0.0325,-0.06,-0.01,100,underlying fixture
e2_assistance,2,bayes_explore,means_explore,posterior_mean_greedy,-0.03,-0.0575,-0.01,100,underlying fixture
e2_assistance,2,bayes_explore,means_explore,prediction_entropy,0.031677245252846827,0.01905414223120177,0.04480646518657711,100,underlying fixture
e2_assistance,2,bayes_explore,recommendation_explore,exact_loss,0.0010459956709956704,-0.0006201569264069264,0.003205695346320343,100,underlying fixture
e2_assistance,2,bayes_explore,recommendation_explore,distribution_exact_loss,0.010044137492941833,0.008160411495207699,0.012057889916469382,100,underlying fixture
e2_assistance,2,bayes_explore,recommendation_explore,optimal_agreement,-0.01,-0.0275,0.005,100,underlying fixture
e2_assistance,2,bayes_explore,recommendation_explore,posterior_mean_greedy,-0.0125,-0.03,0.0025,100,underlying fixture
e2_assistance,2,bayes_explore,recommendation_explore,prediction_entropy,0.10914971904949718,0.08241806261598135,0.13513161366124524,100,underlying fixture
e2_assistance,2,counts_explore,dp_values_explore,exact_loss,0.009892107892107893,0.004856028346653344,0.015802952256077252,100,underlying fixture
e2_assistance,2,counts_explore,dp_values_explore,distribution_exact_loss,0.01899763605054366,0.015645765813443804,0.022744290203682183,100,underlying fixture
e2_assistance,2,counts_explore,dp_values_explore,optimal_agreement,-0.12,-0.18,-0.0675,100,underlying fixture
e2_assistance,2,counts_explore,dp_values_explore,posterior_mean_greedy,-0.075,-0.13,-0.025,100,underlying fixture
e2_assistance,2,counts_explore,dp_values_explore,prediction_entropy,0.2384656263173829,0.20707237903124504,0.2707289900237984,100,underlying fixture
e2_assistance,2,counts_explore,means_explore,exact_loss,0.009604229104229105,0.004608999333999337,0.01566164772727273,100,underlying fixture
