experiment,horizon,policy,state_regime,metric,mean,ci_low,ci_high,n_fixtures,analysis_role
e1_horizon,5,counts_regret,exploration_required,exact_loss,0.027642501994210228,0.013416950113378706,0.043951601473923144,8,post_hoc_secondary
e1_horizon,5,counts_regret,exploration_required,exact_loss_per_remaining_pull,0.005528500398842046,0.002524857604438352,0.00879032029478463,8,post_hoc_secondary
e1_horizon,5,counts_regret,exploration_required,non_greedy_choice,0.125,0.0,0.3125,8,post_hoc_secondary
e1_horizon,5,counts_regret,exploration_required,non_greedy_probability,0.261875,0.145,0.42374999999999996,8,post_hoc_secondary
e1_horizon,5,counts_regret,exploration_required,value_of_exploration,0.027738165259516334,0.013703939909297025,0.04431547619047649,8,post_hoc_secondary
e1_horizon,5,counts_regret,exploration_required,loss_at_least_001,0.625,0.25,0.875,8,post_hoc_secondary
e1_horizon,5,counts_regret,greedy_can_be_optimal,optimal_agreement,0.8396739130434783,0.7690217391304348,0.904891304347826,92,post_hoc_secondary
e1_horizon,5,counts_regret,greedy_can_be_optimal,exact_loss,0.017375785971012823,0.009516712067338267,0.02611612344020188,92,post_hoc_secondary
e1_horizon,5,counts_regret,greedy_can_be_optimal,exact_loss_per_remaining_pull,0.003475157194202565,0.0019036259037381457,0.00523508950026554,92,post_hoc_secondary
e1_horizon,5,counts_regret,greedy_can_be_optimal,non_greedy_choice,0.08967391304347826,0.03804347826086957,0.14945652173913043,92,post_hoc_secondary
e1_horizon,5,counts_regret,greedy_can_be_optimal,non_greedy_probability,0.1394021739130435,0.10138519021739129,0.18206589673913037,92,post_hoc_secondary
e1_horizon,5,counts_regret,greedy_can_be_optimal,value_of_exploration,0.0,0.0,0.0,92,post_hoc_secondary
e1_horizon,5,counts_regret,greedy_can_be_optimal,loss_at_least_001,0.16032608695652173,0.09510869565217392,0.23369565217391305,92,post_hoc_secondary
e1_horizon,10,counts_explore,exploration_required,optimal_agreement,0.3125,0.0625,0.625,8,post_hoc_secondary
e1_horizon,10,counts_explore,exploration_required,exact_loss,0.04216385436352976,0.02033035725449983,0.062020717377860635,8,post_hoc_secondary
e1_horizon,10,counts_explore,exploration_required,exact_loss_per_remaining_pull,0.004216385436352976,0.002033035725449983,0.00612540604393722,8,post_hoc_secondary
e1_horizon,10,counts_explore,exploration_required,non_greedy_choice,0.3125,0.0625,0.625,8,post_hoc_secondary
