target,k,fixture_id,representation,raw_excess_brier,repeat_variability,cross_repeat_error_product
best_arm,2,e7_probability_forecasts:2:36,counts,0.026099999999999804,0.008099999999999994,0.017999999999999808
best_arm,2,e7_probability_forecasts:2:36,means,0.006100000000000109,0.00010000000000000018,0.0060000000000001085
best_arm,2,e7_probability_forecasts:2:37,bayes,0.00024511512616351823,0.0,0.00024511512616351823
best_arm,2,e7_probability_forecasts:2:37,counts,0.00024511512616351823,0.0,0.00024511512616351823
best_arm,2,e7_probability_forecasts:2:37,means,0.00024511512616351823,0.0,0.00024511512616351823
best_arm,2,e7_probability_forecasts:2:38,bayes,0.05232222222222211,0.0001000000000000001,0.05222222222222211
best_arm,2,e7_probability_forecasts:2:38,counts,0.05555555555555544,0.0,0.05555555555555544
best_arm,2,e7_probability_forecasts:2:38,means,0.05555555555555544,0.0,0.05555555555555544
best_arm,2,e7_probability_forecasts:2:39,bayes,0.04081632653061201,0.0,0.04081632653061201
best_arm,2,e7_probability_forecasts:2:39,counts,0.038059183673469166,0.0001000000000000001,0.03795918367346916
best_arm,2,e7_probability_forecasts:2:39,means,0.04081632653061201,0.0,0.04081632653061201
best_arm,2,e7_probability_forecasts:2:4,bayes,0.05555555555555544,0.0,0.05555555555555544
best_arm,2,e7_probability_forecasts:2:4,counts,0.05555555555555544,0.0,0.05555555555555544
best_arm,2,e7_probability_forecasts:2:4,means,0.05555555555555544,0.0,0.05555555555555544
best_arm,2,e7_probability_forecasts:2:40,bayes,0.037190082644628156,0.0,0.037190082644628156
best_arm,2,e7_probability_forecasts:2:40,counts,0.037190082644628156,0.0,0.037190082644628156
best_arm,2,e7_probability_forecasts:2:40,means,0.037190082644628156,0.0,0.037190082644628156
best_arm,2,e7_probability_forecasts:2:41,bayes,0.294304081632653,9.9999999999999e-05,0.294204081632653
best_arm,2,e7_probability_forecasts:2:41,counts,0.1264326530612246,0.0,0.1264326530612246
best_arm,2,e7_probability_forecasts:2:41,means,0.3177183673469386,0.0,0.3177183673469386
best_arm,2,e7_probability_forecasts:2:42,bayes,0.10650816326530593,0.00010000000000000005,0.10640816326530594
best_arm,2,e7_probability_forecasts:2:42,counts,0.13097959183673444,0.0004000000000000004,0.13057959183673443
best_arm,2,e7_probability_forecasts:2:42,means,0.12576530612244874,0.00010000000000000011,0.12566530612244872
best_arm,2,e7_probability_forecasts:2:43,bayes,0.003086779931464124,0.0,0.003086779931464124
best_arm,2,e7_probability_forecasts:2:43,counts,0.003086779931464124,0.0,0.003086779931464124
best_arm,2,e7_probability_forecasts:2:43,means,0.003086779931464124,0.0,0.003086779931464124
best_arm,2,e7_probability_forecasts:2:44,bayes,1.5094795314572596e-05,0.0,1.5094795314572596e-05
best_arm,2,e7_probability_forecasts:2:44,counts,1.5094795314572596e-05,0.0,1.5094795314572596e-05
best_arm,2,e7_probability_forecasts:2:44,means,1.5094795314572596e-05,0.0,1.5094795314572596e-05
best_arm,2,e7_probability_forecasts:2:45,bayes,0.0060379181258301134,0.0,0.0060379181258301134
best_arm,2,e7_probability_forecasts:2:45,counts,0.004040115928027933,0.0,0.004040115928027933
best_arm,2,e7_probability_forecasts:2:45,means,0.004040115928027933,0.0,0.004040115928027933
best_arm,2,e7_probability_forecasts:2:46,bayes,0.29927887936239556,0.0003999999999999985,0.2988788793623956
best_arm,2,e7_probability_forecasts:2:46,counts,0.2269382200217363,0.0004000000000000002,0.2265382200217363
best_arm,2,e7_probability_forecasts:2:46,means,0.4171558024393187,0.0,0.4171558024393187
best_arm,2,e7_probability_forecasts:2:47,bayes,0.09959297052154228,0.0001000000000000001,0.09949297052154228
best_arm,2,e7_probability_forecasts:2:47,counts,0.10405487528344705,0.0,0.10405487528344705
best_arm,2,e7_probability_forecasts:2:47,means,0.10405487528344705,0.0,0.10405487528344705
best_arm,2,e7_probability_forecasts:2:48,bayes,0.1667469387755101,0.0004000000000000002,0.1663469387755101
best_arm,2,e7_probability_forecasts:2:48,counts,0.27916122448979586,0.00010000000000000005,0.27906122448979587
best_arm,2,e7_probability_forecasts:2:48,means,0.2571469387755101,0.0,0.2571469387755101
best_arm,2,e7_probability_forecasts:2:49,bayes,0.011041992159418777,0.0,0.011041992159418777
best_arm,2,e7_probability_forecasts:2:49,counts,0.008269855936508558,0.0,0.008269855936508558
best_arm,2,e7_probability_forecasts:2:49,means,0.009655924047963668,0.0001000000000000001,0.009555924047963668
best_arm,2,e7_probability_forecasts:2:5,bayes,0.09347664399092995,0.0,0.09347664399092995
best_arm,2,e7_probability_forecasts:2:5,counts,0.10232426303854902,0.0,0.10232426303854902
best_arm,2,e7_probability_forecasts:2:5,means,0.10232426303854902,0.0,0.10232426303854902
best_arm,2,e7_probability_forecasts:2:50,bayes,0.0331044559000068,0.0,0.0331044559000068
best_arm,2,e7_probability_forecasts:2:50,counts,0.004261598757149835,0.0009000000000000008,0.0033615987571498345
best_arm,2,e7_probability_forecasts:2:50,means,0.0331044559000068,0.0,0.0331044559000068
best_arm,2,e7_probability_forecasts:2:51,bayes,0.038899999999999754,0.004899999999999996,0.03399999999999976
best_arm,2,e7_probability_forecasts:2:51,counts,0.23139999999999938,0.0003999999999999985,0.2309999999999994
best_arm,2,e7_probability_forecasts:2:51,means,0.055699999999999694,0.0025000000000000014,0.0531999999999997
best_arm,2,e7_probability_forecasts:2:52,bayes,1.2493793635659862e-06,0.0,1.2493793635659862e-06
