target,k,representation,metric,mean,ci_low,ci_high,n_fixtures
best_arm,5,means,cross_repeat_error_product,0.2324952327379835,0.2010083393604281,0.26509663579123727,100
best_arm,10,bayes,raw_excess_brier,0.33187834552994727,0.29320972059685857,0.37248336718371455,100
best_arm,10,bayes,repeat_variability,0.000447872359963269,0.00023686124375063767,0.0006959790429548002,100
best_arm,10,bayes,cross_repeat_error_product,0.331430473169984,0.292738539622972,0.3721212313362041,100
best_arm,10,counts,raw_excess_brier,0.27034014626362796,0.23279056314431318,0.31087087439198696,100
best_arm,10,counts,repeat_variability,0.001639155800428527,0.001089935014284256,0.002278062072747678,100
best_arm,10,counts,cross_repeat_error_product,0.2687009904631994,0.23115605561132152,0.30923023855681603,100
best_arm,10,means,raw_excess_brier,0.33376109856095754,0.2937982240048616,0.375699210717759,100
best_arm,10,means,repeat_variability,0.0005356969696969701,0.0002443045582083466,0.0009022863228242019,100
best_arm,10,means,cross_repeat_error_product,0.3332254015912606,0.2933231163429142,0.37528631511433475,100
best_arm,15,bayes,raw_excess_brier,0.4029765034102597,0.35957768975391985,0.44839015386154746,100
best_arm,15,bayes,repeat_variability,0.00033444872972145703,0.0001878861111111109,0.0005202636440159171,100
best_arm,15,bayes,cross_repeat_error_product,0.40264205468053826,0.35923814406025023,0.44809186034483695,100
best_arm,15,counts,raw_excess_brier,0.2862971981293758,0.24694052544176096,0.3289780046742532,100
best_arm,15,counts,repeat_variability,0.001530432608917458,0.0009783958448117544,0.002213966789103153,100
best_arm,15,counts,cross_repeat_error_product,0.28476676552045843,0.24531341119395628,0.32755907133721285,100
best_arm,15,means,raw_excess_brier,0.382558648052277,0.3391038305395203,0.42888237840488436,100
best_arm,15,means,repeat_variability,0.000711287419651056,0.0003221868941944699,0.0011925871416182021,100
best_arm,15,means,cross_repeat_error_product,0.381847360632626,0.3382692240163223,0.4282259041461274,100
next_reward,2,bayes,raw_excess_brier,0.0022566033432656796,0.0019621391315754935,0.0025624998222016034,100
next_reward,2,bayes,repeat_variability,7.000000000000085e-05,5.7500000000000944e-05,8.300000000000111e-05,100
next_reward,2,bayes,cross_repeat_error_product,0.002186603343265679,0.001890705720001501,0.0024938416432413115,100
next_reward,2,counts,raw_excess_brier,0.00416364013980247,0.0032027789509192044,0.005222678495296185,100
next_reward,2,counts,repeat_variability,0.00011750000000000006,9.599999999999998e-05,0.0001405000000000005,100
next_reward,2,counts,cross_repeat_error_product,0.00404614013980247,0.003088425403384486,0.005103080057064133,100
next_reward,2,means,raw_excess_brier,0.0029468544255167707,0.0025731625559865918,0.003332378882751447,100
next_reward,2,means,repeat_variability,5.900000000000033e-05,4.650000000000038e-05,7.250000000000083e-05,100
