family,policy,metric,mean,ci_low,ci_high,n_episodes,expected_episodes,analysis_role
close,counts_direct,pseudo_regret,2.531250000000002,1.8075000000000017,3.2612500000000026,40,40,post_hoc_two_arm_normative_audit
close,counts_direct,reward,53.75,52.3,55.2,40,40,post_hoc_two_arm_normative_audit
close,counts_sample,exact_loss,1.5693047940628986,1.3470638717853631,1.7912740220398644,40,40,post_hoc_two_arm_normative_audit
close,counts_sample,optimal_agreement,0.7092499999999999,0.6495000000000001,0.76675,40,40,post_hoc_two_arm_normative_audit
close,counts_sample,pseudo_regret,2.297500000000002,1.7912500000000016,2.7962812500000025,40,40,post_hoc_two_arm_normative_audit
close,counts_sample,reward,53.65,52.25,55.1,40,40,post_hoc_two_arm_normative_audit
close,exact_h100,exact_loss,0.0,0.0,0.0,40,40,post_hoc_two_arm_normative_audit
close,exact_h100,optimal_agreement,1.0,1.0,1.0,40,40,post_hoc_two_arm_normative_audit
close,exact_h100,pseudo_regret,2.1887500000000015,1.6124687500000014,2.788781250000002,40,40,post_hoc_two_arm_normative_audit
close,exact_h100,reward,53.75,52.375,55.125,40,40,post_hoc_two_arm_normative_audit
close,finite_ap_index,exact_loss,0.011020947657772496,0.006638127054235745,0.01707274056124901,40,40,post_hoc_two_arm_normative_audit
close,finite_ap_index,optimal_agreement,0.9774999999999998,0.9695,0.9844999999999999,40,40,post_hoc_two_arm_normative_audit
close,finite_ap_index,pseudo_regret,2.3175000000000017,1.6862500000000016,2.9325312500000025,40,40,post_hoc_two_arm_normative_audit
close,finite_ap_index,reward,53.5,52.15,54.85,40,40,post_hoc_two_arm_normative_audit
close,greedy,exact_loss,2.2876572964552038,1.680602147522742,2.9121858907790252,40,40,post_hoc_two_arm_normative_audit
close,greedy,optimal_agreement,0.38649999999999995,0.2985,0.479,40,40,post_hoc_two_arm_normative_audit
close,greedy,pseudo_regret,2.431250000000002,1.7050000000000014,3.172500000000003,40,40,post_hoc_two_arm_normative_audit
close,greedy,reward,53.85,52.325,55.375,40,40,post_hoc_two_arm_normative_audit
close,ids,exact_loss,0.27330815428744826,0.2027695489917437,0.3511194414631641,40,40,post_hoc_two_arm_normative_audit
close,ids,optimal_agreement,0.88975,0.8639937499999999,0.91425,40,40,post_hoc_two_arm_normative_audit
close,ids,pseudo_regret,2.273750000000002,1.7062500000000014,2.8175000000000026,40,40,post_hoc_two_arm_normative_audit
close,ids,reward,53.65,52.225,55.075,40,40,post_hoc_two_arm_normative_audit
close,knowledge_gradient,exact_loss,0.326427705425684,0.21527808785852995,0.44732081031146775,40,40,post_hoc_two_arm_normative_audit
close,knowledge_gradient,optimal_agreement,0.7749999999999999,0.705,0.8399999999999999,40,40,post_hoc_two_arm_normative_audit
close,knowledge_gradient,pseudo_regret,2.2250000000000023,1.5812500000000014,2.8675000000000024,40,40,post_hoc_two_arm_normative_audit
close,knowledge_gradient,reward,53.975,52.575,55.35,40,40,post_hoc_two_arm_normative_audit
