family,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,analysis_role
prior,greedy,exact_h100,pseudo_regret,1.4222824799489815,-0.22027809403811618,3.781980315328042,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,greedy,exact_h100,exact_loss,1.040266256719041,0.5704722065274808,1.5682778223805258,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,ids,exact_h100,pseudo_regret,0.02735009741283283,-0.10724989151583042,0.15402308872284512,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,ids,exact_h100,exact_loss,0.14360346338224073,0.08386905748528005,0.21372338157126206,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,knowledge_gradient,exact_h100,pseudo_regret,0.013680780138519932,-0.14788588397867952,0.17912046485818872,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,knowledge_gradient,exact_h100,exact_loss,0.1676240284399535,0.09985461157302437,0.24232633046303612,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,random,exact_h100,pseudo_regret,15.975475442494783,11.492927302107754,20.658389064191862,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,random,exact_h100,exact_loss,14.982304927064783,11.544006092668852,18.511010295889683,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,ts,exact_h100,pseudo_regret,0.8662590352250923,0.2908069920749445,1.3737917416049825,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,ts,exact_h100,exact_loss,0.9970427329492673,0.8406142990280006,1.1588114402510663,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,ucb1,exact_h100,pseudo_regret,3.86772394333641,2.5488978205050263,5.025046851239272,40,40,40,episode,post_hoc_two_arm_normative_audit
prior,ucb1,exact_h100,exact_loss,3.6355894593002547,3.1729476864918116,4.104582168684428,40,40,40,episode,post_hoc_two_arm_normative_audit
