experiment,family,k,horizon,policy,phase,metric,mean,ci_low,ci_high,n_episodes,n_recorded_turns,analysis_role
e3_exact_online,prior,2,20,bayes_sample,middle,unseen_arm,0.012916666666666665,0.00875,0.017083333333333332,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,lower_mean_higher_sd,0.08833333333333333,0.0775,0.09999999999999998,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,equal_mean_higher_sd,0.01375,0.00875,0.01875,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,unequal_sd_greedy_tie_available,0.026666666666666665,0.019166666666666665,0.035,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,posterior_mean_deficit,0.0250069588975839,0.021349992036320164,0.02892760976003163,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,chosen_posterior_sd,0.14945582359451723,0.14618941134268224,0.15255153936317292,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,bayes_ucb_agreement,0.8158333333333334,0.78875,0.84125,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,knowledge_gradient_agreement,0.8054166666666667,0.78,0.83,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,bayes_ucb_top_set_size,1.0308333333333335,1.0195833333333335,1.0433333333333334,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,knowledge_gradient_top_set_size,1.0325,1.02125,1.0454166666666667,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_loss,0.024778699089960856,0.02115705851995869,0.02873675034714978,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,strict_exploration_required,0.06458333333333333,0.04791666666666666,0.0825,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,useful_non_greedy,0.015,0.010416666666666664,0.02,200,2400,post_hoc_behavioral
