target,k,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit
best_arm,10,bayes,means,excess_log_loss,0.013002989955235751,-0.17727854358010264,0.21448058055184652,100,100,100,episode
best_arm,10,bayes,means,max_absolute_error,-0.003808342283265459,-0.01845264464522216,0.010913065015029588,100,100,100,episode
best_arm,15,means,counts,excess_brier,0.09626144992290117,0.06188152632622702,0.12702600859883906,100,100,100,episode
best_arm,15,means,counts,excess_log_loss,1.5811763941362025,1.2941194259838886,1.9014080513327154,100,100,100,episode
best_arm,15,means,counts,max_absolute_error,0.09477260274790753,0.06307585692897114,0.12427891155960628,100,100,100,episode
best_arm,15,bayes,counts,excess_brier,0.11667930528088379,0.08257299066289152,0.14838912058560016,100,100,100,episode
best_arm,15,bayes,counts,excess_log_loss,1.8600665375147096,1.5463251276545595,2.198379645616085,100,100,100,episode
best_arm,15,bayes,counts,max_absolute_error,0.11458813027668628,0.08441232779454498,0.14398035492402517,100,100,100,episode
best_arm,15,bayes,means,excess_brier,0.020417855357982625,0.010350224414961496,0.031196836606882477,100,100,100,episode
best_arm,15,bayes,means,excess_log_loss,0.278890143378507,0.1264026085586856,0.4410887111679148,100,100,100,episode
best_arm,15,bayes,means,max_absolute_error,0.019815527528778718,0.009318735006271032,0.03164437616992248,100,100,100,episode
next_reward,2,means,counts,excess_brier,-0.0012167857142857117,-0.002228110930735928,-0.0002667275974025959,100,100,100,episode
next_reward,2,means,counts,excess_log_loss,-0.0018280063683675455,-0.0031089340264560993,-0.000620690748984622,100,100,100,episode
next_reward,2,means,counts,max_absolute_error,-0.000459632034632023,-0.005035995670995658,0.004002819264069273,100,100,100,episode
next_reward,2,bayes,counts,excess_brier,-0.0019070367965367946,-0.002903318127705625,-0.0010035924242424224,100,100,100,episode
next_reward,2,bayes,counts,excess_log_loss,-0.0027069233781970748,-0.003993252350030236,-0.0015207572634718645,100,100,100,episode
next_reward,2,bayes,counts,max_absolute_error,-0.004416774891774876,-0.008741314935064916,-0.00027056277056275706,100,100,100,episode
next_reward,2,bayes,means,excess_brier,-0.0006902510822510827,-0.0008498469696969702,-0.0005373993506493511,100,100,100,episode
next_reward,2,bayes,means,excess_log_loss,-0.0008789170098295296,-0.0010944490479880878,-0.000673844936279514,100,100,100,episode
