target,k,representation,metric,mean,ci_low,ci_high,n_fixtures
best_arm,15,bayes,max_absolute_error,0.5501896310712506,0.5172230015320178,0.5845143612835323,100
best_arm,15,counts,excess_brier,0.2862971981293759,0.24755636485362337,0.3296449544630499,100
best_arm,15,counts,excess_log_loss,2.8051050601614502,2.509772469125161,3.113486515417461,100
best_arm,15,counts,max_absolute_error,0.4356015007945643,0.3989834162597375,0.4729169080740509,100
best_arm,15,means,excess_brier,0.3825586480522771,0.3374111726912681,0.4284735793183725,100
best_arm,15,means,excess_log_loss,4.386281454297653,3.9930199244907416,4.7865368936383375,100
best_arm,15,means,max_absolute_error,0.5303741035424718,0.4950865183532215,0.5656323980666957,100
next_reward,2,bayes,excess_brier,0.0022566033432656813,0.0019590342422368405,0.0025654195313524865,100
next_reward,2,bayes,excess_log_loss,0.0033106973648132153,0.0028018345234684236,0.0038432683422303946,100
next_reward,2,bayes,max_absolute_error,0.028979870129870147,0.026645124458874486,0.03128501082251084,100
next_reward,2,counts,excess_brier,0.004163640139802477,0.0032055645726748,0.0052118963067596166,100
next_reward,2,counts,excess_log_loss,0.00601762074301029,0.004639168454889854,0.007472672940757827,100
next_reward,2,counts,max_absolute_error,0.03339664502164503,0.02868385010822512,0.038219169372294366,100
next_reward,2,means,excess_brier,0.002946854425516764,0.002567146422246585,0.003338551771190571,100
next_reward,2,means,excess_log_loss,0.004189614374642744,0.0035590776653522606,0.004842822600295937,100
next_reward,2,means,max_absolute_error,0.032937012987013,0.030236471861471888,0.035590955086580105,100
next_reward,3,bayes,excess_brier,0.002340150278293136,0.0020890977174340807,0.002600260155669247,100
next_reward,3,bayes,excess_log_loss,0.0037050165982086256,0.00319128526855909,0.004259451493085025,100
next_reward,3,bayes,max_absolute_error,0.029686507936507952,0.02788609126984129,0.03158242784992787,100
next_reward,3,counts,excess_brier,0.004706916512059367,0.003974573326805469,0.005479711280554459,100
next_reward,3,counts,excess_log_loss,0.0071248607604406,0.005981021838506674,0.008334069721959233,100
next_reward,3,counts,max_absolute_error,0.03583665223665224,0.03239809704184705,0.03934366883116883,100
next_reward,3,means,excess_brier,0.0032238328179756766,0.0028790203827077213,0.0035911146909728088,100
next_reward,3,means,excess_log_loss,0.004807497634325206,0.004181253461172542,0.005462310326038084,100
next_reward,3,means,max_absolute_error,0.03504725829725831,0.03286045093795095,0.03732265873015874,100
next_reward,5,bayes,excess_brier,0.0022857976799535245,0.0021100484892524517,0.0024634089520436274,100
next_reward,5,bayes,excess_log_loss,0.0035578270184921717,0.003213890228769168,0.003927693814632099,100
next_reward,5,bayes,max_absolute_error,0.029733246753246775,0.028487365800865826,0.03101283549783551,100
next_reward,5,counts,excess_brier,0.00513037170592755,0.004516708333333332,0.005750062887314702,100
next_reward,5,counts,excess_log_loss,0.007361592941318312,0.006509482632784803,0.008230245967524159,100
