experiment,family,k,horizon,policy,turn,n_episodes,mean_cumulative_pseudo_regret,mean_cumulative_reward,non_greedy_fraction
e3_exact_online,prior,2,20,ids,12,200,0.7199955910174198,7.125,0.035
e3_exact_online,prior,2,20,ids,13,200,0.7393844630620863,7.795,0.05
e3_exact_online,prior,2,20,ids,14,200,0.7724076669885583,8.405,0.085
e3_exact_online,prior,2,20,ids,15,200,0.7927745998645925,9.035,0.055
e3_exact_online,prior,2,20,ids,16,200,0.8212715650930862,9.635,0.065
e3_exact_online,prior,2,20,ids,17,200,0.8475140720972918,10.285,0.06
e3_exact_online,prior,2,20,ids,18,200,0.8640245940154239,10.935,0.035
e3_exact_online,prior,2,20,ids,19,200,0.8844610233902896,11.605,0.06
e3_exact_online,prior,2,20,ids,20,200,0.9027111365132118,12.265,0.045
e3_exact_online,prior,2,20,knowledge_gradient,1,200,0.1978733621946126,0.475,0.0
e3_exact_online,prior,2,20,knowledge_gradient,2,200,0.2804739369742087,1.07,0.0
e3_exact_online,prior,2,20,knowledge_gradient,3,200,0.3731663973321767,1.6,0.0
e3_exact_online,prior,2,20,knowledge_gradient,4,200,0.4514658769140387,2.22,0.28
e3_exact_online,prior,2,20,knowledge_gradient,5,200,0.5122324183991208,2.79,0.16
e3_exact_online,prior,2,20,knowledge_gradient,6,200,0.5613970101864738,3.375,0.085
e3_exact_online,prior,2,20,knowledge_gradient,7,200,0.6230233639500556,3.94,0.16
e3_exact_online,prior,2,20,knowledge_gradient,8,200,0.6628977327417637,4.625,0.07
e3_exact_online,prior,2,20,knowledge_gradient,9,200,0.7021798624956844,5.26,0.155
e3_exact_online,prior,2,20,knowledge_gradient,10,200,0.7349071595766793,5.87,0.05
e3_exact_online,prior,2,20,knowledge_gradient,11,200,0.7675059920546723,6.465,0.075
e3_exact_online,prior,2,20,knowledge_gradient,12,200,0.7929345290031479,7.065,0.06
e3_exact_online,prior,2,20,knowledge_gradient,13,200,0.821360674695264,7.745,0.08
e3_exact_online,prior,2,20,knowledge_gradient,14,200,0.8449753621460998,8.335,0.03
e3_exact_online,prior,2,20,knowledge_gradient,15,200,0.8676628841152378,8.975,0.075
e3_exact_online,prior,2,20,knowledge_gradient,16,200,0.8847009708440183,9.575,0.025
e3_exact_online,prior,2,20,knowledge_gradient,17,200,0.8980124013609802,10.235,0.015
e3_exact_online,prior,2,20,knowledge_gradient,18,200,0.9159691660618031,10.845,0.015
e3_exact_online,prior,2,20,knowledge_gradient,19,200,0.9304614684849475,11.495,0.0
e3_exact_online,prior,2,20,knowledge_gradient,20,200,0.9453189222755646,12.2,0.0
e3_exact_online,prior,2,20,random,1,200,0.1520112946851736,0.515,0.0
e3_exact_online,prior,2,20,random,2,200,0.3281149198553804,0.995,0.48
e3_exact_online,prior,2,20,random,3,200,0.4990247931770845,1.48,0.285
e3_exact_online,prior,2,20,random,4,200,0.6934302808965853,1.915,0.58
e3_exact_online,prior,2,20,random,5,200,0.844342621696906,2.355,0.375
e3_exact_online,prior,2,20,random,6,200,1.0000672256975545,2.89,0.435
e3_exact_online,prior,2,20,random,7,200,1.1712851409961482,3.39,0.45
e3_exact_online,prior,2,20,random,8,200,1.348067743248034,3.895,0.45
e3_exact_online,prior,2,20,random,9,200,1.509432702427219,4.44,0.435
e3_exact_online,prior,2,20,random,10,200,1.6954572526628033,4.895,0.575
e3_exact_online,prior,2,20,random,11,200,1.8720278562145598,5.305,0.44
e3_exact_online,prior,2,20,random,12,200,2.053363808084038,5.79,0.49
e3_exact_online,prior,2,20,random,13,200,2.228250349133331,6.325,0.5
e3_exact_online,prior,2,20,random,14,200,2.4248699638568074,6.765,0.56
e3_exact_online,prior,2,20,random,15,200,2.5886892298968287,7.23,0.485
e3_exact_online,prior,2,20,random,16,200,2.761571518402256,7.695,0.48
e3_exact_online,prior,2,20,random,17,200,2.9361263029402824,8.185,0.48
e3_exact_online,prior,2,20,random,18,200,3.07874241507306,8.73,0.43
e3_exact_online,prior,2,20,random,19,200,3.247134286586778,9.21,0.495
e3_exact_online,prior,2,20,random,20,200,3.4190960535777175,9.7,0.495
e3_exact_online,prior,2,20,ts,1,200,0.1709286384141569,0.495,0.0
e3_exact_online,prior,2,20,ts,2,200,0.3234934089629389,1.04,0.305
e3_exact_online,prior,2,20,ts,3,200,0.4358232160589434,1.57,0.085
e3_exact_online,prior,2,20,ts,4,200,0.5528661074182991,2.13,0.32
e3_exact_online,prior,2,20,ts,5,200,0.6615805290930442,2.675,0.245
e3_exact_online,prior,2,20,ts,6,200,0.7220581202127011,3.26,0.175
e3_exact_online,prior,2,20,ts,7,200,0.7993462000986193,3.86,0.19
e3_exact_online,prior,2,20,ts,8,200,0.8805803592221045,4.385,0.28
e3_exact_online,prior,2,20,ts,9,200,0.940330795218337,4.985,0.16
e3_exact_online,prior,2,20,ts,10,200,1.0034939024189802,5.585,0.195
e3_exact_online,prior,2,20,ts,11,200,1.0671211597409005,6.195,0.2
