experiment,comparison_role,family,k,horizon,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,ids,reward,-0.53,-0.725,-0.34,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,ids,exact_loss,0.45287382036119367,0.3915503786271715,0.5169228884988728,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,knowledge_gradient,pseudo_regret,0.4239756419541699,0.2831253226815413,0.5700421215724607,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,knowledge_gradient,reward,-0.465,-0.67,-0.265,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,knowledge_gradient,exact_loss,0.45742593487763983,0.39489516548305076,0.5223206019698408,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,counts_sample,ts,pseudo_regret,-0.08641277793800566,-0.2266292339949359,0.058328131357756045,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,counts_sample,ts,reward,0.13,-0.07,0.33,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,counts_sample,ts,exact_loss,-0.013490232972026617,-0.08800967927265263,0.0653539224295093,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,ucb1,pseudo_regret,-0.4738802729788818,-0.6250421803192401,-0.32266872833328186,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,ucb1,reward,0.48,0.27,0.68,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,counts_sample,ucb1,exact_loss,-0.4435035389840647,-0.5210748688696873,-0.36620094494740923,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,bayes_ucb,pseudo_regret,-0.019722636497887712,-0.12498868452396916,0.09173219608798226,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,bayes_ucb,reward,0.05,-0.075,0.17,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,bayes_ucb,exact_loss,-0.058033259269735786,-0.07039503969991061,-0.046022701857761125,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,dp_direct,exact,pseudo_regret,0.012588204103793963,-0.060324314203777124,0.09254464241233892,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,dp_direct,exact,reward,-0.025,-0.115,0.065,200,200,200,episode
