cohort,label_scheme,horizon,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,comparison_role,expected_pairs,missing_pairs
random,original,2,dp_values,nested,distribution_exact_loss,-0.004120344058115786,-0.0059298363891543086,-0.0024431571363419113,100,100,100,fixture,secondary_exploratory,100,0
random,original,10,path_explicit,nested,advice_adherence,0.1275,0.0775,0.1825,100,100,100,fixture,primary_descriptive,100,0
random,original,10,path_explicit,nested,optimal_agreement,0.1075,0.06,0.1625,100,100,100,fixture,secondary_exploratory,100,0
random,original,10,path_explicit,nested,exact_loss,-0.007343817775447148,-0.01091020910038942,-0.004132502461802226,100,100,100,fixture,secondary_exploratory,100,0
random,original,10,path_explicit,nested,distribution_exact_loss,-0.005820960278329828,-0.007680146171570101,-0.004103459123177699,100,100,100,fixture,secondary_exploratory,100,0
random,original,10,inline,nested,advice_adherence,0.045,0.0125,0.08,100,100,100,fixture,primary_descriptive,100,0
random,original,10,inline,nested,optimal_agreement,0.025,-0.0025,0.055,100,100,100,fixture,secondary_exploratory,100,0
random,original,10,inline,nested,exact_loss,-0.0026178125649873275,-0.005328399907398098,-0.00020961122635127833,100,100,100,fixture,secondary_exploratory,100,0
random,original,10,inline,nested,distribution_exact_loss,-0.0006732697696865097,-0.0013645148243102549,-3.725701420747737e-05,100,100,100,fixture,secondary_exploratory,100,0
random,original,10,per_option,nested,advice_adherence,0.0675,0.035,0.1025,100,100,100,fixture,primary_descriptive,100,0
random,original,10,per_option,nested,optimal_agreement,0.0475,0.0225,0.0775,100,100,100,fixture,secondary_exploratory,100,0
random,original,10,per_option,nested,exact_loss,-0.004351313635173188,-0.007098403416518313,-0.0019895980067864043,100,100,100,fixture,secondary_exploratory,100,0
random,original,10,per_option,nested,distribution_exact_loss,-0.004262410685966346,-0.005356386046175946,-0.0032680758270531027,100,100,100,fixture,secondary_exploratory,100,0
random,original,10,advice_only,nested,advice_adherence,0.13,0.08,0.1875,100,100,100,fixture,secondary_exploratory,100,0
random,original,10,advice_only,nested,optimal_agreement,0.11,0.06,0.165,100,100,100,fixture,secondary_exploratory,100,0
random,original,10,advice_only,nested,exact_loss,-0.0073526658368162166,-0.011090633280396627,-0.004090160225709706,100,100,100,fixture,secondary_exploratory,100,0
random,original,10,advice_only,nested,distribution_exact_loss,0.04034392323533144,0.03087460398236316,0.050083864838575,100,100,100,fixture,secondary_exploratory,100,0
random,original,10,dp_values,nested,optimal_agreement,0.11,0.06,0.165,100,100,100,fixture,secondary_exploratory,100,0
random,original,10,dp_values,nested,exact_loss,-0.0073526658368162166,-0.011000903743634088,-0.0041270888788547426,100,100,100,fixture,secondary_exploratory,100,0
random,original,10,dp_values,nested,distribution_exact_loss,-0.006973785318083351,-0.010395930575034585,-0.0038016396013093134,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,path_explicit,nested,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,path_explicit,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,path_explicit,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,path_explicit,nested,distribution_exact_loss,-0.0007293296734240157,-0.0007927962605461999,-0.0006678987616572491,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,inline,nested,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,inline,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,inline,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,inline,nested,distribution_exact_loss,-0.0003351484338087074,-0.0003920712485433662,-0.00028156499949938906,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,per_option,nested,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,per_option,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,per_option,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,per_option,nested,distribution_exact_loss,-0.0004832273931300254,-0.0005505375765340882,-0.00041631974961961406,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,advice_only,nested,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,advice_only,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,advice_only,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
