cohort,label_scheme,horizon,format,metric,mean,ci_low,ci_high,n_fixtures
random,original,2,advice_only,exact_loss,0.0,0.0,0.0,100
random,original,2,advice_only,distribution_exact_loss,0.04280817954690235,0.036421761693243335,0.04942091547763827,100
random,original,2,advice_only,posterior_mean_greedy,0.98,0.95,1.0,100
random,original,2,advice_only,prediction_entropy,0.4330622973028222,0.42989313832248893,0.4362932715610915,100
random,original,2,advice_only,choice_mismatch,0.0,0.0,0.0,100
random,original,2,dp_values,optimal_agreement,1.0,1.0,1.0,100
random,original,2,dp_values,exact_loss,0.0,0.0,0.0,100
random,original,2,dp_values,distribution_exact_loss,0.00291411275318886,0.0025460672814504614,0.003289314577632542,100
random,original,2,inline,advice_adherence,0.9575,0.92,0.9875,100
random,original,2,inline,distribution_advice_adherence,0.8987499999999998,0.866099375,0.929,100
random,original,2,inline,optimal_agreement,0.9575,0.92,0.9875,100
random,original,2,inline,exact_loss,0.0018835657096526659,0.0004772727272727279,0.0037454863071710877,100
random,original,2,inline,distribution_exact_loss,0.0075671687189622075,0.0058829681265292755,0.00944893676567998,100
random,original,2,inline,posterior_mean_greedy,0.9825,0.9625,0.9975,100
random,original,2,inline,prediction_entropy,0.20567741290504274,0.1644974282813879,0.2487836297735965,100
random,original,2,inline,choice_mismatch,0.0,0.0,0.0,100
random,original,2,nested,advice_adherence,0.9475,0.91,0.98,100
random,original,2,nested,distribution_advice_adherence,0.8972749999999998,0.8651487499999999,0.9269999999999999,100
random,original,2,nested,optimal_agreement,0.9675,0.935,0.995,100
random,original,2,nested,exact_loss,0.0011994165255034815,0.00018210050818746437,0.0025670995670995676,100
random,original,2,nested,distribution_exact_loss,0.007034456811304648,0.005354978010893095,0.008895947596108603,100
random,original,2,nested,posterior_mean_greedy,0.9875,0.97,1.0,100
random,original,2,nested,prediction_entropy,0.19702697199911284,0.15541954831294846,0.2394597228472889,100
random,original,2,nested,choice_mismatch,0.0,0.0,0.0,100
random,original,2,path_explicit,advice_adherence,1.0,1.0,1.0,100
random,original,2,path_explicit,distribution_advice_adherence,0.9542499999999998,0.940174375,0.9669756249999999,100
random,original,2,path_explicit,optimal_agreement,1.0,1.0,1.0,100
random,original,2,path_explicit,exact_loss,0.0,0.0,0.0,100
random,original,2,path_explicit,distribution_exact_loss,0.0037621375906702116,0.0029514842632458347,0.004636545171087977,100
random,original,2,path_explicit,posterior_mean_greedy,0.98,0.95,1.0,100
random,original,2,path_explicit,prediction_entropy,0.13991867211002196,0.11036207869408395,0.17157574877439719,100
random,original,2,path_explicit,choice_mismatch,0.0,0.0,0.0,100
random,original,2,per_option,advice_adherence,0.98,0.95,1.0,100
random,original,2,per_option,distribution_advice_adherence,0.9363749999999998,0.911824375,0.9577750000000002,100
random,original,2,per_option,optimal_agreement,0.98,0.95,1.0,100
random,original,2,per_option,exact_loss,0.00024242424242424177,0.0,0.0006363636363636349,100
random,original,2,per_option,distribution_exact_loss,0.003918416501976299,0.002799547705464848,0.005136136074070867,100
random,original,2,per_option,posterior_mean_greedy,1.0,1.0,1.0,100
random,original,2,per_option,prediction_entropy,0.14786713917515873,0.1118595713753238,0.1862392228801092,100
random,original,2,per_option,choice_mismatch,0.0,0.0,0.0,100
