cohort,format,contrast_type,fixed_factor,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,analysis_role
random,advice_only,horizon,labels=original,10,1,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,horizon,labels=letters,2,1,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,horizon,labels=letters,10,1,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,label_scheme,horizon=1,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,label_scheme,horizon=2,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,label_scheme,horizon=10,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,horizon,labels=original,2,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,horizon,labels=original,10,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,horizon,labels=letters,2,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,horizon,labels=letters,10,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,label_scheme,horizon=1,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,label_scheme,horizon=2,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,label_scheme,horizon=10,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,horizon,labels=original,2,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,horizon,labels=original,10,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,horizon,labels=letters,2,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,advice_only,horizon,labels=letters,10,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,dp_values,label_scheme,horizon=1,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,dp_values,label_scheme,horizon=2,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,dp_values,label_scheme,horizon=10,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,dp_values,horizon,labels=original,2,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,dp_values,horizon,labels=original,10,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,dp_values,horizon,labels=letters,2,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,dp_values,horizon,labels=letters,10,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,dp_values,label_scheme,horizon=1,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,dp_values,label_scheme,horizon=2,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,dp_values,label_scheme,horizon=10,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,dp_values,horizon,labels=original,2,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,dp_values,horizon,labels=original,10,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,dp_values,horizon,labels=letters,2,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,dp_values,horizon,labels=letters,10,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,nested,label_scheme,horizon=1,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,nested,label_scheme,horizon=2,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,nested,label_scheme,horizon=10,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,nested,horizon,labels=original,2,1,advice_adherence,-0.18,-0.26,-0.11,100,100,100,fixture,secondary_exploratory
targeted,nested,horizon,labels=original,10,1,advice_adherence,-1.0,-1.0,-1.0,100,100,100,fixture,secondary_exploratory
targeted,nested,horizon,labels=letters,2,1,advice_adherence,-0.18,-0.26,-0.11,100,100,100,fixture,secondary_exploratory
targeted,nested,horizon,labels=letters,10,1,advice_adherence,-1.0,-1.0,-1.0,100,100,100,fixture,secondary_exploratory
targeted,nested,label_scheme,horizon=1,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,nested,label_scheme,horizon=2,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,nested,label_scheme,horizon=10,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,nested,horizon,labels=original,2,1,optimal_agreement,-0.18,-0.26,-0.11,100,100,100,fixture,secondary_exploratory
targeted,nested,horizon,labels=original,10,1,optimal_agreement,-1.0,-1.0,-1.0,100,100,100,fixture,secondary_exploratory
targeted,nested,horizon,labels=letters,2,1,optimal_agreement,-0.18,-0.26,-0.11,100,100,100,fixture,secondary_exploratory
targeted,nested,horizon,labels=letters,10,1,optimal_agreement,-1.0,-1.0,-1.0,100,100,100,fixture,secondary_exploratory
targeted,nested,label_scheme,horizon=1,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,nested,label_scheme,horizon=2,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,nested,label_scheme,horizon=10,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,nested,horizon,labels=original,2,1,exact_loss,0.006011247543167866,0.003160388525128942,0.009239108910400315,100,100,100,fixture,secondary_exploratory
targeted,nested,horizon,labels=original,10,1,exact_loss,0.05953887862752714,0.0562398766284385,0.06279733010299447,100,100,100,fixture,secondary_exploratory
targeted,nested,horizon,labels=letters,2,1,exact_loss,0.006011247543167866,0.003202037358165433,0.009192981191088058,100,100,100,fixture,secondary_exploratory
targeted,nested,horizon,labels=letters,10,1,exact_loss,0.05953887862752714,0.05627867520490166,0.0627362873638307,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,label_scheme,horizon=1,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,label_scheme,horizon=2,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,label_scheme,horizon=10,letters,original,advice_adherence,0.275,0.225,0.3275,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,horizon,labels=original,2,1,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,horizon,labels=original,10,1,advice_adherence,-0.4325,-0.5,-0.365,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,horizon,labels=letters,2,1,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,horizon,labels=letters,10,1,advice_adherence,-0.1575,-0.1975,-0.12,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,label_scheme,horizon=1,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,label_scheme,horizon=2,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,label_scheme,horizon=10,letters,original,optimal_agreement,0.275,0.225,0.3275,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,horizon,labels=original,2,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,horizon,labels=original,10,1,optimal_agreement,-0.4325,-0.5,-0.365,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,horizon,labels=letters,2,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,horizon,labels=letters,10,1,optimal_agreement,-0.1575,-0.1975,-0.12,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,label_scheme,horizon=1,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,label_scheme,horizon=2,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,label_scheme,horizon=10,letters,original,exact_loss,-0.014480931914233018,-0.017468802974397474,-0.011621951596385318,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,horizon,labels=original,2,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,horizon,labels=original,10,1,exact_loss,0.021746064213458257,0.018473346048959487,0.024965049102956584,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,horizon,labels=letters,2,1,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,path_explicit,horizon,labels=letters,10,1,exact_loss,0.007265132299225239,0.005481423182789375,0.009091292421738579,100,100,100,fixture,secondary_exploratory
targeted,inline,label_scheme,horizon=1,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,inline,label_scheme,horizon=2,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,inline,label_scheme,horizon=10,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,inline,horizon,labels=original,2,1,advice_adherence,-0.18,-0.26,-0.11,100,100,100,fixture,secondary_exploratory
targeted,inline,horizon,labels=original,10,1,advice_adherence,-1.0,-1.0,-1.0,100,100,100,fixture,secondary_exploratory
targeted,inline,horizon,labels=letters,2,1,advice_adherence,-0.18,-0.26,-0.11,100,100,100,fixture,secondary_exploratory
targeted,inline,horizon,labels=letters,10,1,advice_adherence,-1.0,-1.0,-1.0,100,100,100,fixture,secondary_exploratory
targeted,inline,label_scheme,horizon=1,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,inline,label_scheme,horizon=2,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,inline,label_scheme,horizon=10,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,inline,horizon,labels=original,2,1,optimal_agreement,-0.18,-0.26,-0.11,100,100,100,fixture,secondary_exploratory
targeted,inline,horizon,labels=original,10,1,optimal_agreement,-1.0,-1.0,-1.0,100,100,100,fixture,secondary_exploratory
targeted,inline,horizon,labels=letters,2,1,optimal_agreement,-0.18,-0.26,-0.11,100,100,100,fixture,secondary_exploratory
targeted,inline,horizon,labels=letters,10,1,optimal_agreement,-1.0,-1.0,-1.0,100,100,100,fixture,secondary_exploratory
targeted,inline,label_scheme,horizon=1,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,inline,label_scheme,horizon=2,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,inline,label_scheme,horizon=10,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,inline,horizon,labels=original,2,1,exact_loss,0.006011247543167866,0.0032745313358796524,0.009101926646609183,100,100,100,fixture,secondary_exploratory
