fixture_id,k,representation,target,primitive,mean_binary_excess_brier,mean_binary_excess_log_loss,mean_absolute_error
e10_primitive_bridge:15:14,15,oracle_probs_full,next_reward,choice,0.006009273189532931,0.009457050222992302,0.04415007215007216
e10_primitive_bridge:15:14,15,oracle_probs_full,next_reward,noul,0.001992043752303493,0.0039750364509751005,0.026330447330447333
e10_primitive_bridge:15:14,15,oracle_probs_only,best_arm,choice,0.0493086529610952,0.8614490914538303,0.0748492334257176
e10_primitive_bridge:15:14,15,oracle_probs_only,best_arm,noul,0.002400627992772142,0.01894239600560014,0.033999999999999996
e10_primitive_bridge:15:14,15,oracle_probs_only,next_reward,choice,0.019863212583472328,0.02976182249697749,0.08591774891774892
e10_primitive_bridge:15:14,15,oracle_probs_only,next_reward,noul,0.0034537753540350947,0.006922073005361882,0.03513997113997115
e10_primitive_bridge:15:15,15,bayes,best_arm,choice,0.08600536484270996,0.4673665731005079,0.09809660928984727
e10_primitive_bridge:15:15,15,bayes,best_arm,noul,0.030475612770946823,0.04649418284083317,0.05909061708085323
e10_primitive_bridge:15:15,15,bayes,next_reward,choice,0.04685555717971303,0.05603338876163577,0.1360923520923521
e10_primitive_bridge:15:15,15,bayes,next_reward,noul,0.002913738997894844,0.003460224307651346,0.033425685425685435
e10_primitive_bridge:15:15,15,counts,best_arm,choice,0.07080558321535774,0.2939515483821832,0.08930873050196848
e10_primitive_bridge:15:15,15,counts,best_arm,noul,0.04262754614330466,0.06497830456112666,0.07532745204229803
e10_primitive_bridge:15:15,15,counts,next_reward,choice,0.02264187752603337,0.03430922364974383,0.08913997113997113
e10_primitive_bridge:15:15,15,counts,next_reward,noul,0.0030694388535946996,0.003492294094083692,0.03375901875901877
e10_primitive_bridge:15:15,15,oracle_probs_full,best_arm,choice,0.07039315946765612,0.7983190727249301,0.08952633007711033
e10_primitive_bridge:15:15,15,oracle_probs_full,best_arm,noul,0.0016793781502265153,0.01493315428703838,0.025618362021743044
e10_primitive_bridge:15:15,15,oracle_probs_full,next_reward,choice,0.0029644460686019123,0.0035381839312041696,0.02992063492063492
e10_primitive_bridge:15:15,15,oracle_probs_full,next_reward,noul,0.0018400016241574676,0.002277858309528269,0.02192063492063492
e10_primitive_bridge:15:15,15,oracle_probs_only,best_arm,choice,0.07151412334219542,1.059115702885979,0.090192996743777
e10_primitive_bridge:15:15,15,oracle_probs_only,best_arm,noul,0.004767520765580539,0.022209799567199092,0.04000000000000001
e10_primitive_bridge:15:15,15,oracle_probs_only,next_reward,choice,0.01059339267754852,0.01216373232953336,0.06256854256854255
e10_primitive_bridge:15:15,15,oracle_probs_only,next_reward,noul,0.0023898717540275995,0.00298315472042832,0.0267907647907648
e10_primitive_bridge:15:16,15,bayes,best_arm,choice,0.03822037822546423,0.2371545309719616,0.061467646197184506
e10_primitive_bridge:15:16,15,bayes,best_arm,noul,0.016789025595835606,0.03428897407270047,0.04738128389244479
e10_primitive_bridge:15:16,15,bayes,next_reward,choice,0.04746484835991329,0.05991716765548339,0.13239538239538243
e10_primitive_bridge:15:16,15,bayes,next_reward,noul,0.0014063490814140147,0.0020899549011910777,0.02347907647907647
e10_primitive_bridge:15:16,15,counts,best_arm,choice,0.018677053480950223,0.14334117512792965,0.048977461841480184
e10_primitive_bridge:15:16,15,counts,best_arm,noul,0.0069141833818785305,0.02481311305313501,0.03773859250533385
e10_primitive_bridge:15:16,15,counts,next_reward,choice,0.023935237970302906,0.03397848750405144,0.0922380952380952
e10_primitive_bridge:15:16,15,counts,next_reward,noul,0.002463376498441435,0.0037396156145819643,0.03246031746031746
e10_primitive_bridge:15:16,15,oracle_probs_full,best_arm,choice,0.041139179461486444,0.28166932853254784,0.06346764619718451
e10_primitive_bridge:15:16,15,oracle_probs_full,best_arm,noul,0.0026539578603342355,0.01718897737634222,0.031381283892444795
e10_primitive_bridge:15:16,15,oracle_probs_full,next_reward,choice,0.003579191794256726,0.0050771492897915506,0.03301875901875901
e10_primitive_bridge:15:16,15,oracle_probs_full,next_reward,noul,0.0024477343627992954,0.0036826876630702303,0.031008658008657996
e10_primitive_bridge:15:16,15,oracle_probs_only,best_arm,choice,0.04015735682725682,0.2643799682742747,0.06280097953051783
e10_primitive_bridge:15:16,15,oracle_probs_only,best_arm,noul,0.003877055921378918,0.0233523449086816,0.03904795055911145
e10_primitive_bridge:15:16,15,oracle_probs_only,next_reward,choice,0.015918210553275487,0.022039767123356903,0.06963492063492062
e10_primitive_bridge:15:16,15,oracle_probs_only,next_reward,noul,0.003150966686031619,0.005068648734918911,0.03247619047619047
e10_primitive_bridge:15:17,15,bayes,best_arm,choice,0.055546031990362905,0.40633495590780977,0.0792811235963736
e10_primitive_bridge:15:17,15,bayes,best_arm,noul,0.02332187575172793,0.03779212390420414,0.05200773792169723
e10_primitive_bridge:15:17,15,bayes,next_reward,choice,0.024415704353366693,0.03615295913260657,0.09726118326118324
e10_primitive_bridge:15:17,15,bayes,next_reward,noul,0.002082342160004499,0.0031138697549523077,0.027239538239538248
e10_primitive_bridge:15:17,15,counts,best_arm,choice,0.025939017239799377,0.09886354841727756,0.06332728499919958
e10_primitive_bridge:15:17,15,counts,best_arm,noul,0.010381281244612399,0.029307507063755914,0.0440759414355778
e10_primitive_bridge:15:17,15,counts,next_reward,choice,0.018243583141245478,0.0326295155991423,0.08491197691197691
e10_primitive_bridge:15:17,15,counts,next_reward,noul,0.002630971308633644,0.004188084182398187,0.029972582972582967
e10_primitive_bridge:15:17,15,oracle_probs_full,best_arm,choice,0.05983841605575151,0.9493266062108113,0.08194779026304028
e10_primitive_bridge:15:17,15,oracle_probs_full,best_arm,noul,0.0023941871803213927,0.012949345137365335,0.029522854319743056
e10_primitive_bridge:15:17,15,oracle_probs_full,next_reward,choice,0.008111490789153127,0.011013002895889483,0.05310966810966811
e10_primitive_bridge:15:17,15,oracle_probs_full,next_reward,noul,0.0062571184947808325,0.008841129142285886,0.04818326118326117
e10_primitive_bridge:15:17,15,oracle_probs_only,best_arm,choice,0.05983841605575151,0.9493266062108113,0.08194779026304028
e10_primitive_bridge:15:17,15,oracle_probs_only,best_arm,noul,0.00631868595832632,0.024261905689570536,0.04969514470500834
e10_primitive_bridge:15:17,15,oracle_probs_only,next_reward,choice,0.02769284721050955,0.03492922249475593,0.10551659451659454
e10_primitive_bridge:15:17,15,oracle_probs_only,next_reward,noul,0.007451346489008827,0.010713791836279084,0.05046897546897546
e10_primitive_bridge:15:18,15,bayes,best_arm,choice,0.09022432089384824,0.5529025445723315,0.09971900571192113
e10_primitive_bridge:15:18,15,bayes,best_arm,noul,0.05164847069974025,0.07077802343983922,0.06470650502937611
e10_primitive_bridge:15:18,15,bayes,next_reward,choice,0.03745774217124867,0.05067155129200725,0.12661904761904763
e10_primitive_bridge:15:18,15,bayes,next_reward,noul,0.0022074391409456365,0.0032515023894617986,0.030614718614718636
e10_primitive_bridge:15:18,15,counts,best_arm,choice,0.03130578106269151,0.2774505318465105,0.06185421750944971
e10_primitive_bridge:15:18,15,counts,best_arm,noul,0.04180375939070853,0.05983835603631345,0.06770650502937611
e10_primitive_bridge:15:18,15,counts,next_reward,choice,0.019442417495923993,0.028016905667200897,0.0813939393939394
e10_primitive_bridge:15:18,15,counts,next_reward,noul,0.0023273525608590562,0.003164431689293796,0.026740259740259745
e10_primitive_bridge:15:18,15,oracle_probs_full,best_arm,choice,0.0709534550014568,0.455382861793563,0.08946854513086186
e10_primitive_bridge:15:18,15,oracle_probs_full,best_arm,noul,0.0012108207685971144,0.012310455655669,0.02169870263165997
