fixture_id,k,representation,repeat,sum_probabilities,absolute_sum_error,normalization_defined,normalized_mean_binary_excess_brier
e10_primitive_bridge:15:14,15,oracle_probs_only,1,1.5400000000000003,0.5400000000000003,True,0.002979650204062452
e10_primitive_bridge:15:15,15,bayes,0,1.6800000000000004,0.6800000000000004,True,0.009510370320249092
e10_primitive_bridge:15:15,15,bayes,1,1.7600000000000005,0.7600000000000005,True,0.009509026222803715
e10_primitive_bridge:15:15,15,counts,0,1.7000000000000002,0.7000000000000002,True,0.014029640260977074
e10_primitive_bridge:15:15,15,counts,1,1.62,0.6200000000000001,True,0.016073379748751632
e10_primitive_bridge:15:15,15,oracle_probs_full,0,1.3600000000000003,0.3600000000000003,True,0.0014925580002872814
e10_primitive_bridge:15:15,15,oracle_probs_full,1,1.4000000000000001,0.40000000000000013,True,0.0014001869370219235
e10_primitive_bridge:15:15,15,oracle_probs_only,0,1.6000000000000003,0.6000000000000003,True,0.0017342714208577823
e10_primitive_bridge:15:15,15,oracle_probs_only,1,1.6000000000000003,0.6000000000000003,True,0.0016837269270989419
e10_primitive_bridge:15:16,15,bayes,0,1.4900000000000002,0.4900000000000002,True,0.004308259070302583
e10_primitive_bridge:15:16,15,bayes,1,1.4900000000000002,0.4900000000000002,True,0.004441348751566929
e10_primitive_bridge:15:16,15,counts,0,1.21,0.20999999999999996,True,0.006237169212439809
e10_primitive_bridge:15:16,15,counts,1,1.2200000000000002,0.2200000000000002,True,0.00601841508894742
e10_primitive_bridge:15:16,15,oracle_probs_full,0,1.3600000000000003,0.3600000000000003,True,0.0029807537095716996
e10_primitive_bridge:15:16,15,oracle_probs_full,1,1.3800000000000001,0.3800000000000001,True,0.0028152704246095913
e10_primitive_bridge:15:16,15,oracle_probs_only,0,1.56,0.56,True,0.003989841707840865
e10_primitive_bridge:15:16,15,oracle_probs_only,1,1.53,0.53,True,0.003841303746644235
e10_primitive_bridge:15:17,15,bayes,0,1.4400000000000004,0.4400000000000004,True,0.007192656161733772
e10_primitive_bridge:15:17,15,bayes,1,1.4100000000000004,0.41000000000000036,True,0.0068232695864053495
e10_primitive_bridge:15:17,15,counts,0,1.3700000000000003,0.37000000000000033,True,0.008001922970363092
e10_primitive_bridge:15:17,15,counts,1,1.3900000000000003,0.39000000000000035,True,0.007638572839700948
e10_primitive_bridge:15:17,15,oracle_probs_full,0,1.3100000000000003,0.3100000000000003,True,0.001992132223156138
e10_primitive_bridge:15:17,15,oracle_probs_full,1,1.3200000000000003,0.3200000000000003,True,0.0019492061035126026
e10_primitive_bridge:15:17,15,oracle_probs_only,0,1.5700000000000003,0.5700000000000003,True,0.003341180982772859
e10_primitive_bridge:15:17,15,oracle_probs_only,1,1.6400000000000001,0.6400000000000001,True,0.0032616902028924687
e10_primitive_bridge:15:18,15,bayes,0,1.4500000000000002,0.4500000000000002,True,0.02137446736202541
e10_primitive_bridge:15:18,15,bayes,1,1.48,0.48,True,0.021516092539694553
e10_primitive_bridge:15:18,15,counts,0,1.3800000000000001,0.3800000000000001,True,0.019418723735426458
e10_primitive_bridge:15:18,15,counts,1,1.4600000000000002,0.4600000000000002,True,0.0181060042256212
e10_primitive_bridge:15:18,15,oracle_probs_full,0,1.3000000000000003,0.30000000000000027,True,0.0013391467692370107
e10_primitive_bridge:15:18,15,oracle_probs_full,1,1.2900000000000003,0.29000000000000026,True,0.001172923361153375
e10_primitive_bridge:15:18,15,oracle_probs_only,0,1.5700000000000003,0.5700000000000003,True,0.002773107376297992
e10_primitive_bridge:15:18,15,oracle_probs_only,1,1.5900000000000003,0.5900000000000003,True,0.0023389755129660655
e10_primitive_bridge:15:19,15,bayes,0,1.4400000000000002,0.44000000000000017,True,0.006137141406042391
e10_primitive_bridge:15:19,15,bayes,1,1.4400000000000002,0.44000000000000017,True,0.006103624489115629
e10_primitive_bridge:15:19,15,counts,0,1.2700000000000002,0.27000000000000024,True,0.011545812882314913
e10_primitive_bridge:15:19,15,counts,1,1.2800000000000002,0.28000000000000025,True,0.011523120937282768
e10_primitive_bridge:15:19,15,oracle_probs_full,0,1.3200000000000003,0.3200000000000003,True,0.0021028243164582243
e10_primitive_bridge:15:19,15,oracle_probs_full,1,1.3000000000000003,0.30000000000000027,True,0.002044617170394827
e10_primitive_bridge:15:19,15,oracle_probs_only,0,1.5800000000000003,0.5800000000000003,True,0.003594695442071379
e10_primitive_bridge:15:19,15,oracle_probs_only,1,1.5900000000000005,0.5900000000000005,True,0.0033960284395056863
e10_primitive_bridge:15:2,15,bayes,0,1.5000000000000004,0.5000000000000004,True,0.0036172641625667906
e10_primitive_bridge:15:2,15,bayes,1,1.5100000000000002,0.5100000000000002,True,0.003762454331411912
e10_primitive_bridge:15:2,15,counts,0,1.06,0.06000000000000005,True,0.003710524541857121
e10_primitive_bridge:15:2,15,counts,1,1.1600000000000001,0.16000000000000014,True,0.003429096961946199
e10_primitive_bridge:15:2,15,oracle_probs_full,0,1.2200000000000002,0.2200000000000002,True,0.003557382442205141
e10_primitive_bridge:15:2,15,oracle_probs_full,1,1.2700000000000002,0.27000000000000024,True,0.0031646484186830717
e10_primitive_bridge:15:2,15,oracle_probs_only,0,1.6000000000000003,0.6000000000000003,True,0.006316782078287209
e10_primitive_bridge:15:2,15,oracle_probs_only,1,1.5800000000000003,0.5800000000000003,True,0.006279049372147361
e10_primitive_bridge:15:20,15,bayes,0,1.35,0.3500000000000001,True,0.007562905667130837
e10_primitive_bridge:15:20,15,bayes,1,1.37,0.3700000000000001,True,0.007805609963485562
e10_primitive_bridge:15:20,15,counts,0,1.21,0.20999999999999996,True,0.004806195687596832
e10_primitive_bridge:15:20,15,counts,1,1.21,0.20999999999999996,True,0.005573214483202376
e10_primitive_bridge:15:20,15,oracle_probs_full,0,1.33,0.33000000000000007,True,0.0025004217729784686
e10_primitive_bridge:15:20,15,oracle_probs_full,1,1.3399999999999999,0.33999999999999986,True,0.002621221097357123
e10_primitive_bridge:15:20,15,oracle_probs_only,0,1.41,0.4099999999999999,True,0.005355517202476249
e10_primitive_bridge:15:20,15,oracle_probs_only,1,1.43,0.42999999999999994,True,0.006040095284569221
e10_primitive_bridge:15:21,15,bayes,0,1.3400000000000003,0.3400000000000003,True,0.009368947685932124
e10_primitive_bridge:15:21,15,bayes,1,1.3300000000000003,0.3300000000000003,True,0.009228329990314265
e10_primitive_bridge:15:21,15,counts,0,1.2400000000000002,0.2400000000000002,True,0.011881203129364677
e10_primitive_bridge:15:21,15,counts,1,1.2800000000000002,0.28000000000000025,True,0.012208530928736269
e10_primitive_bridge:15:21,15,oracle_probs_full,0,1.1700000000000002,0.17000000000000015,True,0.002233849028167021
e10_primitive_bridge:15:21,15,oracle_probs_full,1,1.2200000000000002,0.2200000000000002,True,0.002444373762789954
e10_primitive_bridge:15:21,15,oracle_probs_only,0,1.4400000000000004,0.4400000000000004,True,0.002269890648227244
e10_primitive_bridge:15:21,15,oracle_probs_only,1,1.4800000000000004,0.4800000000000004,True,0.0026590186017729847
