experiment,family,k,horizon,policy,phase,normative_reference,normative_interpretation,metric,mean,ci_low,ci_high,n_episodes,n_recorded_turns,analysis_role
e3_exact_online,prior,2,20,bayes_direct,late,exact_e3,matched_prior,exact_optimal_agreement,0.96,0.93875,0.97875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,posterior_mean_greedy,0.9975,0.9954166666666666,0.9991666666666668,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,strict_non_greedy,0.0024999999999999996,0.0008333333333333333,0.004583333333333333,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,unseen_arm,0.007083333333333333,0.004166666666666667,0.010416666666666664,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,lower_mean_higher_sd,0.0,0.0,0.0,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,equal_mean_higher_sd,0.02333333333333333,0.01583333333333333,0.03166666666666666,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,unequal_sd_greedy_tie_available,0.035416666666666666,0.025416666666666664,0.04625,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,posterior_mean_deficit,7.676524864024861e-05,2.136752136752134e-05,0.00014511703574203566,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,chosen_posterior_sd,0.13895082151034155,0.13553655273971457,0.1423548256614059,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,bayes_ucb_agreement,0.7875,0.7475,0.8258333333333333,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,knowledge_gradient_agreement,0.8341666666666666,0.8025,0.865,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,bayes_ucb_top_set_size,1.0283333333333333,1.0166666666666666,1.0420833333333333,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,knowledge_gradient_top_set_size,1.02875,1.0170833333333333,1.0425,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,exact_loss,0.004761595902142324,0.003410209636878861,0.006254882564283809,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,strict_exploration_required,0.11541666666666668,0.08957291666666667,0.1433333333333333,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,useful_non_greedy,0.0,0.0,0.0,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,inferior_non_greedy,0.0024999999999999996,0.0008333333333333333,0.004583333333333333,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,neutral_non_greedy,0.0,0.0,0.0,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,middle,exact_e3,matched_prior,exact_optimal_agreement,0.87,0.8391562499999999,0.8991666666666666,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,posterior_mean_greedy,0.91375,0.895,0.93125,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,strict_non_greedy,0.08625,0.0675,0.105,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,unseen_arm,0.44875,0.435,0.4625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,lower_mean_higher_sd,0.0625,0.04625,0.08,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,equal_mean_higher_sd,0.02625,0.01625,0.0375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,unequal_sd_greedy_tie_available,0.0375,0.025,0.05,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,posterior_mean_deficit,0.016312499999999997,0.0126875,0.020145833333333328,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,chosen_posterior_sd,0.25087880616799046,0.24880489076141762,0.2528787457725587,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,bayes_ucb_agreement,0.9025,0.8825,0.9225,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,knowledge_gradient_agreement,0.86625,0.845,0.88625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,bayes_ucb_top_set_size,1.32125,1.30625,1.33625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,knowledge_gradient_top_set_size,1.32125,1.30625,1.3375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,exact_loss,0.013733119478987716,0.010594714112117105,0.017057838565393425,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,strict_exploration_required,0.02,0.01125,0.03,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,useful_non_greedy,0.0075,0.0025,0.01375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,inferior_non_greedy,0.07875,0.06125,0.0975,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,neutral_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,early,exact_e3,matched_prior,exact_optimal_agreement,0.8975,0.87625,0.9175,200,800,post_hoc_behavioral
