experiment,family,k,horizon,policy,episode_id,normative_reference,normative_interpretation,phase,n_turns,posterior_mean_greedy,strict_non_greedy,unseen_arm,lower_mean_higher_sd,equal_mean_higher_sd,unequal_sd_greedy_tie_available,posterior_mean_deficit,chosen_posterior_sd,bayes_ucb_agreement,knowledge_gradient_agreement,bayes_ucb_top_set_size,knowledge_gradient_top_set_size,exact_loss,strict_exploration_required,useful_non_greedy,inferior_non_greedy,neutral_non_greedy,exact_optimal_agreement
e3_exact_online,prior,2,20,dp_direct,e3_exact_online:prior:2:1,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2621886974951644,1.0,0.75,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,dp_direct,e3_exact_online:prior:2:1,exact_e3,matched_prior,middle,12,0.9166666666666666,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.004807692307692309,0.17392843582544293,0.9166666666666666,0.8333333333333334,1.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,1.0
e3_exact_online,prior,2,20,dp_direct,e3_exact_online:prior:2:1,exact_e3,matched_prior,late,4,0.75,0.25,0.0,0.25,0.0,0.0,0.005494505494505503,0.13115988217380256,1.0,1.0,1.0,1.0,0.0,0.25,0.25,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_direct,e3_exact_online:prior:2:2,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25916483183378014,1.0,1.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_direct,e3_exact_online:prior:2:2,exact_e3,matched_prior,middle,12,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.005357142857142856,0.17934012741460828,0.9166666666666666,0.6666666666666666,1.0,1.0,0.004320749367063392,0.3333333333333333,0.16666666666666666,0.0,0.0,0.8333333333333334
e3_exact_online,prior,2,20,counts_direct,e3_exact_online:prior:2:2,exact_e3,matched_prior,late,4,0.75,0.25,0.0,0.25,0.0,0.0,0.0019230769230769301,0.13887241633976263,1.0,0.75,1.0,1.0,0.0019230769230769301,0.0,0.0,0.25,0.0,0.75
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:2,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25916483183378014,1.0,1.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:2,exact_e3,matched_prior,middle,12,1.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.17569756246929455,0.75,0.5833333333333334,1.0,1.0,0.008548956543131517,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:2,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14925530597933448,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:2,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25916483183378014,1.0,1.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:2,exact_e3,matched_prior,middle,12,0.8333333333333334,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.012500000000000002,0.17569756246929455,0.75,0.5833333333333334,1.0,1.0,0.016775021921603333,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.6666666666666666
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:2,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14925530597933448,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
